isolate_code,species,region,site,environment,sampling_source,esbl,AM,AMC,AMI,AMO,AMP,AN,C,CF,CFA,CFO,CFP,CFT,CFV,CFX,CFZ,CHL,CN,CPD,CPT,CTF,CTX,CZA,DO,DOX,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,NAL,NEO,NIT,NLA,PRA,SXT,TE,TET
EC_PGFGR1C20,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR3C2,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR3C3,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR3C7,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR3C12,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR3C15,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,I,,,,,R,S,S,,S,S,S,,S,R,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR3C16,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,I,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
SALPGDWR1C1,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,R,S,,S,,S,,,,,R,S,S,,S,S,R,,I,S,,S,,S,,S,S,,,,,S,R,R,
SALPGDWR1C2,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,R,S,,S,,R,,,,,R,S,S,,S,S,R,,R,S,,S,,S,,S,S,,,,,S,R,R,
SALPGDWR2C3,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,S,S,,,,S,R,S,,S,,R,,,,,S,S,S,,S,S,R,,I,S,,S,,S,,S,S,,,,,S,R,R,
